feature	ATF3	CTCF	E2F1	EGR1	FOXA1	FOXA2	GABPA	HNF4A	JUND	MAX	NANOG	REST	TAF1
CTCF_top1_+-7	0.00127848936858889	0.0022044643404706	0.00160812633314971	0.0015568163891324	0.00205721758304603	0.00187115181311793	0.00144023157703769	0.00151653508254045	0.00179095447567345	0.00141813934451293	0.00216099162862058	0.00120370363148065	0.00186674708682619
CTCF_top1_+-9	0.00147283441229557	0.00181681614931552	0.00147850350525534	0.00159522434279802	0.00204962433799682	0.00161209623626267	0.00170581844484275	0.0015971542376517	0.0014008312425502	0.00137273303284898	0.00171613322861965	0.00148485497579203	0.00131170985109069
CTCF_top1_+-11	0.00128181601586658	0.00162571377283736	0.00157182188599663	0.0014281671277354	0.00191549637108504	0.00178910439562058	0.00138700032351994	0.00110460993368491	0.00142430403496606	0.00147757729303948	0.00182905740003855	0.00101751228111712	0.00136757869243304
CTCF_top1_+-13	0.00161885081147456	0.00171558670586706	0.00195955970392746	0.00165091322969838	0.00174093886526201	0.0017540775440131	0.00150584003547243	0.0011254684259205	0.00149365819059989	0.00115776225154926	0.00247807875231178	0.00151273866552958	0.0011132424356105
CTCF_top2_+-0	0.00116859843853692	0.00323180839226791	0.00110584730589352	0.00126765271494032	0.00139930092492028	0.00136835966285886	0.00150490692582898	0.00109258081474858	0.00122033170491696	0.0011764476643837	0.00180766464285846	0.00125423479669454	0.00127166908455892
CTCF_top2_+-1	0.00277187934696319	0.00460178485501809	0.000906742088673395	0.00153530405509939	0.00153852977977984	0.00153155353355699	0.00170894432673982	0.00146560379296404	0.00157625159174502	0.00171225149522769	0.00192830500010817	0.00215267924204595	0.0015058931210371
CTCF_top2_+-3	0.00128629856142844	0.00199729138422906	0.00135038207703378	0.00185138509636025	0.00164981992467156	0.00150671846763873	0.0020974746022368	0.00125381912497109	0.00131791699848907	0.00217587382285302	0.00117945078099452	0.0014417664908643	0.00125123483730897
CTCF_top2_+-5	0.00174789664615001	0.00137386396572392	0.00144978631606284	0.00119011462514006	0.00160423141094012	0.00159329867529534	0.00162688188403358	0.00111343930698417	0.00116875313465317	0.0012579813434083	0.00174792973100439	0.00127459248688401	0.00148899017202998
CTCF_top2_+-7	0.00102305837799854	0.00109369775382604	0.000995061240755066	0.0011649529415382	0.0013841434782581	0.0013244298221718	0.00173436270450613	0.000594021951313632	0.000911756505477408	0.00106040663110172	0.00206203666193636	0.000823146486897433	0.00138033848021496
CTCF_top2_+-9	0.00098673585232964	0.00122605257504705	0.000492156864302168	0.0011147111396901	0.00154099309344505	0.00147856743544354	0.00127838204174106	0.000883610960586738	0.000926075291886547	0.0011928842663348	0.00159578550475534	0.00100277535796874	0.000871764477792329
CTCF_top2_+-11	0.000897057850205861	0.00101097379318644	0.000852443770116597	0.00111626225944007	0.00151569195775977	0.00149366119782085	0.00132231479338945	0.0011254684259205	0.00111316890684792	0.00113931563926092	0.00111556514283965	0.00109218442470243	0.00140042372502742
CTCF_top2_+-13	0.00105927733708999	0.00131307761006451	0.00120896159039536	0.0012882732792805	0.00178136840417324	0.00151464851969441	0.00110721145416707	0.00098508860793358	0.00112747383672953	0.00105147041798405	0.00111199968330963	0.00114850514281245	0.00151638229614968
CTCF_top3_+-0	0.00132655411387229	0.00221070785555545	0.000481666318268842	0.00145403022893403	0.00132841127550356	0.00119255900449114	0.00154557131461251	0.00114632691815609	0.00122043339509603	0.00096713641602486	0.00245756389528787	0.00101562045447871	0.00148859814679453
CTCF_top3_+-1	0.00158065204269413	0.00300940143262605	0.00184504930288477	0.00210616490888447	0.00117405401741804	0.00124290485955007	0.00218726177844816	0.00135811158614904	0.00153529321122006	0.00195920404427768	0.00184273397138781	0.00151975332060606	0.00130506898762632
CTCF_top3_+-3	0.00161906792580852	0.00170856748897001	0.00246984937486813	0.00146406390101065	0.00137912972061901	0.00131340904491333	0.0027267008923347	0.00103883471134108	0.00120220777363027	0.00296234688182142	0.00141243004289233	0.00145888123141409	0.00202481813994529
CTCF_top3_+-5	0.00124708339504972	0.00113430299188251	0.00157945788176377	0.00123560455610161	0.00113116116484161	0.001302613508729	0.00160936792516801	0.000946186437293504	0.00121979174079343	0.00166743422961492	0.00104869931192555	0.0011748673091264	0.00119197584980185
CTCF_top3_+-7	0.0010446035742432	0.00102015371716798	0.00118546082293526	0.00120983821168565	0.00133600452055276	0.00119837126836791	0.00117468164516865	0.000782133313239893	0.000754047052334668	0.00121788018697394	0.000928644221446634	0.000896671775113956	0.00107152200394139
CTCF_top3_+-9	0.00100392540967311	0.000993232321273429	0.000967228717717923	0.000788700298275868	0.00145497504080237	0.00128336546561339	0.0010918701628514	0.000910484012290488	0.000865542001695947	0.00104786106778439	0.00139489537862765	0.000851680585918612	0.000841885796350122
CTCF_top3_+-11	0.00126780140369107	0.000949412900942541	0.0011776464679714	0.000953465848197901	0.00115130332570666	0.00124728438136252	0.000886507476787823	0.00086876702781931	0.000835842690533904	0.00103498066964916	0.00121452010952388	0.00106263537350178	0.000909809887217033
CTCF_top3_+-13	0.000807036506650449	0.000908684666799641	0.000984063376407644	0.000951787187730644	0.00117153261688038	0.00125468265565044	0.00128828554926568	0.00126264849827035	0.000923359222147944	0.00106855418900168	0.000818992876172361	0.00101571834949249	0.000848594849835876
CTCF_top4_+-0	0.00108377091827409	0.00260659697431066	0.0013455791370948	0.00139125461727021	0.00157380034387084	0.00108250450025327	0.00217128788781227	0.000770104194303567	0.00127788604258396	0.00109980071777258	0.00185045015721863	0.00148023066769629	0.00109302634246733
CTCF_top4_+-1	0.00250068639423057	0.00314295968115372	0.00340468295445464	0.00277012623398838	0.00158394403289393	0.00134171334545533	0.00294347891543727	0.00156426662647979	0.00158507676660918	0.00265911064080425	0.00255651886197211	0.00232815637748714	0.00154480781111216
CTCF_top4_+-3	0.00106443210180358	0.00164034838372627	0.00415325712039985	0.0018663760724196	0.00144488943865174	0.0013819487104445	0.00361477485103514	0.000767289380472468	0.00120074029020015	0.00443782677277384	0.00208372205250184	0.00220628895875305	0.00161881605531087
CTCF_top4_+-5	0.00101568489243224	0.0011001375138236	0.00228814881380716	0.00157595921466306	0.00121715017404806	0.00114462815141257	0.00206989189336399	0.00105367864410851	0.00119679459562814	0.00224408328633422	0.00107336489525027	0.00112617450195718	0.0014875712834641
CTCF_top4_+-7	0.000788127348855498	0.000980708279067826	0.00132815655141174	0.0013254836771893	0.00117669159170061	0.00144995659820793	0.00177841151989081	0.00106852257687593	0.000755622522448459	0.000983792230208063	0.00190334678339806	0.00108571122531219	0.00116054332488146
CTCF_top4_+-9	0.000825406152828478	0.000939054947435445	0.00116511404482728	0.0012364365885483	0.00169024946358279	0.00136556615145754	0.00141179783273232	0.00137014070508537	0.00105868424494414	0.00127679646752324	0.001105161397635	0.000984352241349867	0.0012674977066238
CTCF_top4_+-11	0.00121085232027561	0.000977882315192223	0.000766166495145724	0.00108052422899631	0.00119184903836279	0.00124585163929819	0.00143602051598788	0.000546290407374293	0.00101486126024637	0.00114441037405902	0.000992237226216109	0.000904870143677433	0.000915448807618838
CTCF_top4_+-13	0.00109366169035375	0.00113854477729697	0.0012711061347887	0.000929921914264587	0.00123233666414647	0.00139878175157976	0.00120343673729821	0.000889625520054897	0.000930215887142915	0.00130892632959157	0.00106950680233485	0.00113787692339601	0.00107124314636864
E2F1_top1_+-0	0.00173185081303895	0.00161297386305376	0.00277977416543329	0.00211975871276278	0.00173082421967515	0.00169089966021042	0.00157434651931085	0.00111343930698417	0.00121200899051485	0.00136852968858961	0.00124988207143863	0.00137964151860367	0.00132825460615534
E2F1_top1_+-1	0.00139655371697657	0.00192274080128509	0.00745496777459404	0.00285803518606826	0.00213057054612795	0.00208944957010839	0.00200849799990306	0.0024895945715377	0.00166189503832525	0.00434769886115286	0.00260526476185073	0.00203270971721392	0.00254893593487978
E2F1_top1_+-3	0.00109598761089986	0.00162491288664272	0.00831563111487134	0.00261495346008594	0.00162706923296018	0.00225619397104974	0.00185646738836048	0.00164770059542214	0.00148640822456839	0.00407678301831451	0.00222101917386005	0.00165415328162225	0.00279484416958437
E2F1_top1_+-5	0.00177031769382239	0.00159697046582914	0.00447277021040175	0.00179856518707717	0.00209008292034427	0.00184745227546253	0.0016812844261285	0.00191643111245965	0.00152364672779613	0.0020735092515709	0.00157439274757525	0.0017045713001044	0.00176159279788655
E2F1_top1_+-7	0.00127054057828216	0.00164966731747589	0.00334457934800355	0.00148481670288097	0.00206982458573432	0.00207042676806691	0.00176685393004466	0.00144193048689735	0.00120032799856754	0.00129533168306997	0.0015431815119613	0.00152352739943472	0.0016270282370812
E2F1_top1_+-9	0.00116825163181777	0.00156726956427776	0.00100891635529259	0.00129914159210476	0.00184469385197699	0.00190195241125977	0.00129047857096357	0.00138818438348985	0.00139234432857942	0.00124721466666147	0.00145463029048172	0.00162089727150245	0.00148899176690653
E2F1_top1_+-11	0.00122165309538748	0.0016058292187234	0.00141579629082063	0.00173184935938135	0.00198893646447564	0.00174139878361615	0.00149672760385909	0.00159996905148281	0.00146262659301774	0.00103804644881868	0.00153248513337126	0.00119230952720013	0.00130929396314949
E2F1_top1_+-13	0.00132034578551944	0.00175931121535058	0.00150224566015018	0.00184001523758	0.00207243311658066	0.00196369755299813	0.00157337030748967	0.00157911055924721	0.00142193281338708	0.00124819777818453	0.00223171555245009	0.00179745618102111	0.00145296393883507
E2F1_top2_+-0	0.000941372696753944	0.00114264982671295	0.00167413743869185	0.00171037727549994	0.00134368489591065	0.0012993695151794	0.00118553262774754	0.00112226868028344	0.00106731207831169	0.000973246997012027	0.00137350262144757	0.00107982337679547	0.00140396312714398
